Date,Predicted
2019-08-01,37708.80078125
2019-08-02,37728.0078125
2019-08-05,37757.328125
2019-08-06,37795.62890625
2019-08-07,37843.7265625
2019-08-08,37898.33203125
2019-08-09,37957.046875
2019-08-12,38023.69140625
2019-08-13,38095.9609375
2019-08-14,38173.13671875
2019-08-16,38255.24609375
2019-08-19,38344.35546875
2019-08-20,38441.0078125
2019-08-21,38540.67578125
2019-08-22,38639.5390625
2019-08-23,38735.1875
2019-08-26,38826.8828125
2019-08-27,38914.90625
2019-08-28,38992.05078125
2019-08-29,39055.22265625
2019-08-30,39104.0078125
2019-09-02,39140.44140625
2019-09-03,39164.39453125
2019-09-04,39178.0859375
2019-09-05,39183.40625
2019-09-06,39186.12109375
2019-09-09,39188.53515625
2019-09-10,39194.03125
2019-09-11,39204.546875
2019-09-16,39221.51171875
2019-09-17,39243.84375
2019-09-18,39269.91015625
2019-09-19,39295.23828125
2019-09-20,39320.81640625
2019-09-23,39343.71484375
2019-09-24,39360.43359375
2019-09-25,39371.0390625
2019-09-26,39377.6953125
2019-09-27,39380.7109375
2019-09-30,39376.15234375
2019-10-01,39361.0703125
2019-10-02,39331.5078125
2019-10-04,39288.84375
2019-10-07,39237.671875
2019-10-08,39180.359375
2019-10-10,39115.0078125
2019-10-11,39042.7421875
2019-10-14,38961.41796875
2019-10-15,38871.03515625
2019-10-16,38772.171875
2019-10-17,38666.64453125
2019-10-18,38557.3828125
2019-10-21,38445.3515625
2019-10-22,38331.41015625
2019-10-23,38218.8828125
2019-10-24,38113.21875
2019-10-25,38015.8671875
2019-10-28,37927.50390625
2019-10-29,37849.66015625
2019-10-30,37777.26953125
2019-10-31,37707.2109375
2019-11-01,37637.5390625
2019-11-04,37565.6640625
2019-11-05,37492.12890625
2019-11-06,37414.234375
2019-11-07,37338.75390625
2019-11-08,37269.76171875
2019-11-11,37206.515625
2019-11-12,37145.07421875
2019-11-13,37081.2109375
2019-11-14,37012.48828125
2019-11-15,36940.515625
2019-11-18,36865.91015625
2019-11-19,36788.0234375
